Start Station,Start Terminal,End Station,End Terminal,Trips
5th at Howard,57,San Francisco Caltrain (Townsend at 4th),70,157
5th at Howard,57,Powell at Post (Union Square),71,40
5th at Howard,57,Civic Center BART (7th at Market),72,70
5th at Howard,57,Grant Avenue at Columbus Avenue,73,44
5th at Howard,57,Steuart at Market,74,345
5th at Howard,57,Mechanics Plaza (Market at Battery),75,75
5th at Howard,57,Market at 4th,76,299
5th at Howard,57,Market at Sansome,77,97
5th at Howard,57,Broadway St at Battery St,82,13
San Francisco City Hall,58,Powell Street BART,39,99
San Francisco City Hall,58,Clay at Battery,41,25
San Francisco City Hall,58,Davis at Jackson,42,24
San Francisco City Hall,58,Commercial at Montgomery,45,55
San Francisco City Hall,58,Washington at Kearny,46,44
San Francisco City Hall,58,Post at Kearny,47,58
San Francisco City Hall,58,Embarcadero at Vallejo,48,14
San Francisco City Hall,58,Spear at Folsom,49,22
